,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,batagay-alyta,67.8,130.41,236.46,67,0,0.82,RU,1607896452
1,mahebourg,-20.41,57.7,297.15,88,75,6.2,MU,1607896231
2,college,64.86,-147.8,259.15,70,75,3.1,US,1607896189
3,talnakh,69.49,88.4,248.15,83,0,2.0,RU,1607896038
4,kutum,14.2,24.67,291.33,25,100,2.0,SD,1607896277
5,khatanga,71.97,102.5,252.55,92,100,3.94,RU,1607895986
6,necochea,-38.55,-58.74,292.04,66,0,4.24,AR,1607896227
7,fortuna,40.6,-124.16,285.93,85,99,1.79,US,1607896238
8,lasa,46.62,10.7,273.15,86,5,2.6,IT,1607896254
9,smoky lake,54.12,-112.47,254.15,64,20,1.5,CA,1607896453
10,maltahohe,-24.83,16.98,292.62,25,0,5.0,NA,1607896453
11,muqui,-20.96,-41.35,295.6,91,100,0.69,BR,1607896453
12,ushuaia,-54.8,-68.3,282.15,60,40,8.2,AR,1607896214
13,aquiraz,-3.9,-38.39,301.15,74,75,4.6,BR,1607896228
14,flinders,-34.58,150.86,293.71,90,78,1.79,AU,1607896229
15,tuktoyaktuk,69.45,-133.04,252.15,76,75,5.7,CA,1607896219
16,castro,-24.79,-50.01,293.73,89,52,2.24,BR,1607896144
17,rikitea,-23.12,-134.97,297.74,70,38,2.79,PF,1607896216
18,nikolskoye,59.7,30.79,269.26,92,90,1.0,RU,1607896222
19,touros,-5.2,-35.46,300.15,74,20,4.1,BR,1607896037
20,moerai,-22.43,-151.33,298.32,67,82,1.29,PF,1607896455
21,butaritari,3.07,172.79,300.97,76,5,8.02,KI,1607896258
22,chokurdakh,70.63,147.92,244.24,88,100,2.75,RU,1607896204
23,keti bandar,24.14,67.45,290.09,34,0,4.05,PK,1607896455
24,punta arenas,-53.15,-70.92,284.15,57,40,10.8,CL,1607895972
25,tecoanapa,16.52,-98.75,301.45,68,1,3.54,MX,1607896170
26,brooks,50.58,-111.89,257.15,77,88,4.1,CA,1607896455
27,bluff,-46.6,168.33,285.93,75,100,4.92,NZ,1607896175
28,oyama,36.3,139.8,280.93,54,20,3.1,JP,1607896456
29,namibe,-15.2,12.15,292.05,81,40,1.65,AO,1607896180
30,jamestown,42.1,-79.24,274.26,93,90,3.6,US,1607896044
31,vaini,-21.2,-175.2,301.15,83,20,6.7,TO,1607896216
32,sibolga,1.74,98.78,297.24,78,100,1.99,ID,1607896288
33,dehloran,32.69,47.27,287.55,44,0,0.76,IR,1607896457
34,hobart,-42.88,147.33,294.26,55,20,6.2,AU,1607896457
35,provideniya,64.38,-173.3,266.15,85,90,11.0,RU,1607896181
36,virden,39.5,-89.77,275.37,87,100,0.45,US,1607896457
37,sorland,67.67,12.69,276.15,69,40,2.6,NO,1607896031
38,sao filipe,14.9,-24.5,297.19,74,24,1.91,CV,1607896221
39,mapiripan,2.89,-72.13,300.73,72,88,2.27,CO,1607896458
40,mataura,-46.19,168.86,285.93,75,91,4.92,NZ,1607895981
41,new norfolk,-42.78,147.06,294.26,54,0,0.45,AU,1607896217
42,atuona,-9.8,-139.03,299.52,70,1,6.46,PF,1607896191
43,baykit,61.67,96.37,251.58,87,100,0.97,RU,1607896458
44,illapel,-31.63,-71.17,298.92,31,0,2.9,CL,1607896459
45,manggar,-2.88,108.27,298.85,85,100,2.28,ID,1607896459
46,pochutla,15.74,-96.47,303.15,58,5,3.26,MX,1607896459
47,geraldton,-28.77,114.6,285.15,81,0,2.1,AU,1607896219
48,bredasdorp,-34.53,20.04,288.15,82,68,2.1,ZA,1607896215
49,hami,42.8,93.45,261.31,72,0,1.33,CN,1607896153
50,kapaa,22.08,-159.32,301.15,65,1,2.1,US,1607896216
51,tombouctou,20.0,-3.0,293.8,26,24,4.22,ML,1607896460
52,goure,13.98,10.27,297.37,18,45,4.57,NE,1607896460
53,sotouboua,8.57,0.98,299.15,69,0,2.34,TG,1607896460
54,victoria,22.29,114.16,294.26,80,84,0.89,HK,1607895949
55,itarema,-2.92,-39.92,300.44,75,60,6.81,BR,1607896260
56,eenhana,-17.47,16.33,305.15,27,47,1.0,NA,1607896460
57,nhulunbuy,-12.23,136.77,300.15,78,40,0.5,AU,1607896242
58,severo-kurilsk,50.68,156.12,275.25,92,100,20.04,RU,1607896027
59,mogadishu,2.04,45.34,298.02,79,0,7.2,SO,1607896461
60,naze,28.37,129.48,292.15,68,90,5.1,JP,1607896209
61,sun valley,39.6,-119.78,280.93,65,75,6.7,US,1607896311
62,colares,38.8,-9.45,289.26,100,100,4.01,PT,1607896461
63,barrow,71.29,-156.79,252.15,70,1,9.3,US,1607896245
64,faanui,-16.48,-151.75,299.86,72,4,5.09,PF,1607896249
65,port elizabeth,-33.92,25.57,293.15,94,14,3.6,ZA,1607896223
66,jalu,29.03,21.55,287.44,52,0,6.84,LY,1607896462
67,roma,43.21,-75.46,276.48,69,90,5.1,US,1607896462
68,laguna,38.42,-121.42,284.82,93,90,6.2,US,1607895982
69,purwodadi,-7.09,110.92,296.78,92,100,1.62,ID,1607896462
70,port alfred,-33.59,26.89,292.04,96,25,8.05,ZA,1607896222
71,qaanaaq,77.48,-69.36,269.64,93,100,2.46,GL,1607896256
72,imbituba,-28.24,-48.67,302.15,70,20,7.7,BR,1607896463
73,alofi,-19.06,-169.92,296.15,100,90,363.7,NU,1607895989
74,iqaluit,63.75,-68.51,261.15,66,40,5.7,CA,1607896257
75,shima,24.45,117.81,291.15,68,75,6.0,CN,1607896464
76,sungaipenuh,-2.08,101.38,290.57,83,100,0.54,ID,1607896464
77,itarantim,-15.66,-40.07,295.6,69,28,2.56,BR,1607896464
78,thompson,55.74,-97.86,248.15,75,20,5.1,CA,1607896220
79,hermanus,-34.42,19.23,287.59,90,23,3.43,ZA,1607896223
80,upernavik,72.79,-56.15,269.1,98,100,0.86,GL,1607896220
81,saint george,37.1,-113.58,280.37,32,1,1.75,US,1607896073
82,atar,20.52,-13.05,292.75,22,49,3.17,MR,1607896465
83,ariquemes,-9.91,-63.04,301.55,64,99,1.17,BR,1607896465
84,erenhot,43.65,111.98,252.33,85,0,2.75,CN,1607896465
85,albany,42.6,-73.97,279.82,63,100,0.45,US,1607896208
86,narrabri,-30.32,149.78,294.15,52,75,7.2,AU,1607896466
87,saint-philippe,-21.36,55.77,296.15,88,75,6.7,RE,1607896275
88,bambous virieux,-20.34,57.76,297.15,88,75,6.2,MU,1607896239
89,usak,38.5,29.42,282.34,80,100,4.84,TR,1607896172
90,maniitsoq,65.42,-52.9,264.98,90,100,2.71,GL,1607896466
91,banjarmasin,-3.32,114.59,296.15,100,90,2.1,ID,1607896467
92,canyon lake,29.88,-98.26,292.04,34,26,7.15,US,1607896467
93,balao,-2.92,-79.82,303.15,62,75,2.1,EC,1607896467
94,mar del plata,-38.0,-57.56,292.15,39,0,3.1,AR,1607896185
95,saskylakh,71.92,114.08,242.66,83,100,7.93,RU,1607895996
96,bengkulu,-3.8,102.27,296.8,85,100,0.96,ID,1607896172
97,roald,62.58,6.13,277.15,69,0,4.1,NO,1607896468
98,arman,59.7,150.17,250.54,84,55,7.73,RU,1607896468
99,mawlaik,23.63,94.42,290.21,90,73,0.75,MM,1607896468
100,qui nhon,13.77,109.23,296.72,90,82,2.18,VN,1607896468
101,sukumo,32.93,132.73,280.19,74,73,7.68,JP,1607896469
102,okha,53.57,142.95,261.29,96,90,5.76,RU,1607896469
103,camacha,33.08,-16.33,289.15,93,40,3.1,PT,1607896469
104,englewood,39.65,-104.99,276.48,45,14,0.45,US,1607896354
105,bathsheba,13.22,-59.52,300.15,78,20,3.6,BB,1607896281
106,hambantota,6.12,81.12,296.15,100,0,1.5,LK,1607896054
107,high prairie,55.43,-116.49,255.15,70,19,3.1,CA,1607896425
108,kanniyakumari,8.08,77.57,298.14,79,44,7.85,IN,1607896247
109,constitucion,-35.33,-72.42,292.12,44,2,9.08,CL,1607896283
110,busselton,-33.65,115.33,282.59,97,21,3.08,AU,1607896225
111,nishihara,26.18,127.76,293.15,72,75,4.1,JP,1607896470
112,cidreira,-30.18,-50.21,294.84,93,80,0.81,BR,1607896217
113,bandarbeyla,9.49,50.81,296.16,68,0,7.39,SO,1607896259
114,changtu,42.78,124.1,256.55,79,0,4.19,CN,1607896471
115,ponta delgada,37.73,-25.67,287.15,76,75,4.6,PT,1607896192
116,yellowknife,62.46,-114.35,242.04,74,5,1.5,CA,1607895962
117,cayenne,4.93,-52.33,301.15,74,0,3.1,GF,1607896268
118,tautira,-17.73,-149.15,303.15,62,40,6.7,PF,1607896472
119,east london,-33.02,27.91,294.55,82,55,5.55,ZA,1607896194
120,ahipara,-35.17,173.17,292.96,56,54,1.79,NZ,1607895978
121,saldanha,-33.01,17.94,287.15,76,73,1.5,ZA,1607896216
122,tasiilaq,65.61,-37.64,276.15,64,100,7.09,GL,1607896195
123,kodiak,57.79,-152.41,279.15,93,90,7.7,US,1607896243
124,hithadhoo,-0.6,73.08,301.11,77,59,7.2,MV,1607896273
125,morganton,35.75,-81.68,292.15,55,1,2.1,US,1607896472
126,te anau,-45.42,167.72,287.91,56,19,0.41,NZ,1607896267
127,meridian,43.61,-116.39,274.82,94,1,5.7,US,1607896473
128,ribeira grande,38.52,-28.7,288.15,58,40,9.3,PT,1607896225
129,port hedland,-20.32,118.57,297.15,83,27,3.79,AU,1607896473
130,nemuro,43.32,145.57,270.49,86,100,3.52,JP,1607896473
131,fort portal,0.66,30.27,290.11,58,61,1.44,UG,1607896473
132,ponta do sol,32.67,-17.1,289.15,87,20,1.5,PT,1607896013
133,katsuura,35.13,140.3,286.48,50,75,7.2,JP,1607896296
134,dong hoi,17.48,106.6,297.0,92,100,1.22,VN,1607896474
135,lagoa,39.05,-27.98,287.4,64,32,11.6,PT,1607896023
